condition,engine,workload,size,trial,wall_sec,throughput_MBps,peak_mem_mb,peak_cpu_pct,ok,notes
high_ram,mapreduce,W2,S,1,48.634,2.0562,7630.9,335.8,true,
high_ram,mapreduce,W2,S,2,43.845,2.2808,7875.4,292.5,true,
high_ram,mapreduce,W2,S,3,48.489,2.0623,7804.0,309.3,true,
high_ram,spark,W2,S,1,6.459,15.4822,7241.3,212.9,true,
high_ram,spark,W2,S,2,6.481,15.4286,7239.3,214.9,true,
high_ram,spark,W2,S,3,6.398,15.6292,7237.7,215.4,true,
high_ram,mapreduce,W2,M,1,101.021,10.1365,9736.4,483.5,true,
high_ram,mapreduce,W2,M,2,99.514,10.2900,9724.2,408.1,true,
high_ram,mapreduce,W2,M,3,102.658,9.9749,9740.7,490.5,true,
high_ram,spark,W2,M,1,20.173,50.7610,7762.6,473.2,true,
high_ram,spark,W2,M,2,20.472,50.0196,7462.2,405.4,true,
high_ram,spark,W2,M,3,20.817,49.1916,7467.6,403.3,true,
high_ram,mapreduce,W2,L,1,475.070,10.7774,19825.9,412.6,true,
high_ram,mapreduce,W2,L,2,468.820,10.9210,21436.5,417.4,true,
high_ram,mapreduce,W2,L,3,490.309,10.4424,21782.4,500.4,true,
high_ram,spark,W2,L,1,89.816,57.0051,10241.2,406.3,true,
high_ram,spark,W2,L,2,90.844,56.3604,9618.1,405.1,true,
high_ram,spark,W2,L,3,92.848,55.1439,9583.9,407.4,true,
