condition,engine,workload,size,trial,wall_sec,throughput_MBps,peak_mem_mb,peak_cpu_pct,ok,notes
high_ram,mapreduce,W3,S,1,216.354,0.2214,9139.3,380.0,true,
high_ram,mapreduce,W3,S,2,221.585,0.2162,9201.2,386.1,true,
high_ram,mapreduce,W3,S,3,217.168,0.2205,9242.6,432.6,true,
high_ram,mapreduce,W3,M,1,1187.238,0.4677,11781.4,574.6,true,
high_ram,mapreduce,W3,M,2,1173.236,0.4733,12116.8,604.1,true,
high_ram,mapreduce,W3,M,3,1143.454,0.4856,12189.7,567.4,true,
high_ram,mapreduce,W3,L,1,7190.709,0.4215,16104.2,602.2,true,
high_ram,mapreduce,W3,L,2,7584.046,0.3996,13886.0,602.0,true,
high_ram,mapreduce,W3,L,3,8321.705,0.3642,13905.1,793.6,true,"stats_err:Command '['docker', 'stats', '--no-stream', '--format', '{{.Name}},{{.CPUPerc}},{{.MemUsage}}', 'hs-namenode', 'hs-datanode', 'hs-resourcemanager', 'hs-nodemanager', 'hs-spark']' timed out after 15 seconds"
high_ram,spark,W3,S,1,134.669,0.3557,3703.3,581.0,true,
high_ram,spark,W3,S,2,125.105,0.3828,3815.7,517.0,true,
high_ram,spark,W3,S,3,125.410,0.3819,3839.4,441.1,true,
high_ram,spark,W3,M,1,1112.988,0.4989,7163.5,590.8,true,
high_ram,spark,W3,M,2,1127.503,0.4925,6860.5,598.8,true,
high_ram,spark,W3,M,3,1102.027,0.5038,7287.9,578.8,true,
high_ram,spark,W3,L,1,7144.979,0.4242,12789.3,606.1,true,
high_ram,spark,W3,L,2,7118.738,0.4257,12993.4,597.5,true,
high_ram,spark,W3,L,3,7138.705,0.4245,14013.7,615.1,true,
