condition,engine,workload,size,trial,wall_sec,throughput_MBps,peak_mem_mb,peak_cpu_pct,ok,notes
low_ram,mapreduce,W1,S,1,55.960,1.7870,2486.2,431.5,true,
low_ram,mapreduce,W1,S,2,48.479,2.0628,2635.4,352.6,true,
low_ram,mapreduce,W1,S,3,50.628,1.9752,2709.0,444.8,true,
low_ram,spark,W1,S,1,23.373,4.2784,2043.6,267.3,true,
low_ram,spark,W1,S,2,22.677,4.4098,2029.5,347.8,true,
low_ram,spark,W1,S,3,22.814,4.3833,2022.6,257.6,true,
low_ram,mapreduce,W1,M,1,360.771,2.8384,3023.7,391.9,true,oom_warning_but_exit0
low_ram,mapreduce,W1,M,2,373.944,2.7384,3636.1,365.6,true,oom_warning_but_exit0
low_ram,mapreduce,W1,M,3,337.612,3.0331,3720.2,477.7,true,oom_warning_but_exit0
low_ram,spark,W1,M,1,92.361,11.0870,3035.3,464.5,true,
low_ram,spark,W1,M,2,94.139,10.8775,2996.6,589.9,true,
low_ram,spark,W1,M,3,97.556,10.4965,3016.7,553.8,true,
low_ram,mapreduce,W1,L,1,1887.397,2.7127,4294.7,502.9,true,oom_warning_but_exit0
low_ram,mapreduce,W1,L,2,1871.925,2.7352,4412.2,488.1,true,oom_warning_but_exit0
low_ram,mapreduce,W1,L,3,1888.300,2.7114,4400.9,442.9,true,oom_warning_but_exit0
low_ram,spark,W1,L,1,436.448,11.7311,3211.9,602.2,true,
low_ram,spark,W1,L,2,429.591,11.9183,3188.6,595.0,true,
low_ram,spark,W1,L,3,432.819,11.8294,3201.2,570.2,true,
