condition,engine,workload,size,trial,wall_sec,throughput_MBps,peak_mem_mb,peak_cpu_pct,ok,notes
low_ram,mapreduce,W2,S,1,47.093,2.1235,3572.1,302.0,true,
low_ram,mapreduce,W2,S,2,49.126,2.0356,3567.9,399.1,true,
low_ram,mapreduce,W2,S,3,53.406,1.8724,3588.6,297.1,true,
low_ram,spark,W2,S,1,6.457,15.4861,3094.6,216.5,true,
low_ram,spark,W2,S,2,6.491,15.4060,2998.1,277.4,true,
low_ram,spark,W2,S,3,6.530,15.3142,2975.9,212.1,true,
low_ram,mapreduce,W2,M,1,136.843,7.4830,3793.3,347.5,true,
low_ram,mapreduce,W2,M,2,132.401,7.7341,3656.2,342.7,true,
low_ram,mapreduce,W2,M,3,134.296,7.6249,3621.9,343.9,true,
low_ram,spark,W2,M,1,20.399,50.1995,3098.3,479.4,true,
low_ram,spark,W2,M,2,20.412,50.1663,3212.5,404.3,true,
low_ram,spark,W2,M,3,20.672,49.5358,3088.5,404.5,true,
low_ram,mapreduce,W2,L,1,613.197,8.3497,4586.8,407.9,true,
low_ram,mapreduce,W2,L,2,600.552,8.5255,4655.6,352.3,true,
low_ram,mapreduce,W2,L,3,676.604,7.5672,3696.6,351.4,true,
low_ram,spark,W2,L,1,87.373,58.5993,3193.0,483.6,true,
low_ram,spark,W2,L,2,89.945,56.9236,3230.3,412.0,true,
low_ram,spark,W2,L,3,91.289,56.0855,3227.2,405.7,true,
